"brand","title","price","url"
"Asics","Zapatos Asics Gel Sonoma 7 Mujer","77.94","https://fitpoint.ec/zapatos-asics-gel-sonoma-7-mujer-1012b413-403-asi-403-01.html"
"Asics","Zapatos Asics Patriot 13 Mujer","59.94","https://fitpoint.ec/zapatos-asics-patriot-13-mujer-1012b312-411-asi-411.html"
"Asics","Zapatos Magic Speed 4 Hombre","104.95","https://fitpoint.ec/zapatos-magic-speed-4-hombre-1011b875-750-asi-750.html"
"Asics","Zapatos GEL Kayano 31 Hombre","137.94","https://fitpoint.ec/zapatos-gel-kayano-31-hombre-1011b867-300-asi-300.html"
"Asics","Zapatos Asics Gt 1000 13 Blue Expanse/Feather Grey Hombre","86.94","https://fitpoint.ec/zapatos-asics-gt-1000-13-blue-expanse-feather-grey-hombre-1011b858-400-asi-400.html"
"Asics","Zapatos GEL Pulse 15 Hombre","72.45","https://fitpoint.ec/zapatos-gel-pulse-15-hombre-1011b780-403-asi-403.html"
"Asics","Zapatos Asics Gel Pulse 15 Hombre","72.45","https://fitpoint.ec/zapatos-asics-gel-pulse-15-hombre-1011b780-004-asi-004-01.html"
"Asics","Zapatos Asics Jolt 4 Hombre","47.45","https://fitpoint.ec/zapatos-asics-jolt-4-hombre-1011b603-409-asi-409.html"
"Asics","Zapatos Asics Jolt 4 Hombre","59.94","https://fitpoint.ec/zapatos-asics-jolt-4-hombre-1011b603-002-asi-002.html"
"Asics","Zapatos Asics Gel Sonoma 7 Hombre","77.94","https://fitpoint.ec/zapatos-asics-gel-sonoma-7-hombre-1011b595-004-asi-004.html"
"Asics","Zapatos Asics Patriot 13 Hombre","49.95","https://fitpoint.ec/zapatos-asics-patriot-13-hombre-1011b485-410-asi-410.html"
"Asics","Zapatos Asics Patriot 13 Hombre","49.95","https://fitpoint.ec/zapatos-asics-patriot-13-hombre-1011b485-010-asi-010.html"
"Asics","Zapatos Asics Japan S","62.45","https://fitpoint.ec/zapatos-asics-japan-s-1203a289-103-asi-103.html"
"Asics","Zapatos Tiger Runner II Hombre","59.95","https://fitpoint.ec/zapatos-tiger-runner-ii-hombre-1203a273-100-asi-092.html"
"Asics","Zapatos Asics Gel-Takumi Hombre","51.96","https://fitpoint.ec/zapatos-asics-gel-takumi-hombre-1201a508-203-asi-198.html"
"Asics","Zapatos Asics Gel Sparta 2 Mujer","79.95","https://fitpoint.ec/zapatos-asics-gel-sparta-2-mujer-1012b621-001-asi-001-01.html"
"Asics","Zapatos Asics Jolt 4","49.95","https://fitpoint.ec/zapatos-asics-jolt-4-1012b421-006-asi-006.html"
